time,agegroup
1606,16372,30
1607,16372,35
1608,16373,35
1609,16375,40
1610,16383,45
1611,16385,35
1612,16387,35
1613,16392,35
1614,16394,30
1615,16395,40
1616,16396,30
1617,16399,30
1618,16401,35
1619,16402,35
1620,16406,30
1621,16407,35
1622,16408,30
1623,16412,50
1624,16415,40
1625,16415,40
1626,16415,45
1627,16417,30
1628,16419,30
1629,16420,40
1630,16422,35
1631,16424,55
1632,16426,30
1633,16429,40
1634,16430,40
1635,16435,30
1636,16436,30
1637,16438,30
1638,16438,45
1639,16439,45
1640,16443,30
1641,16444,30
1642,16444,30
1643,16444,30
1644,16444,40
1645,16445,40
1646,16447,30
1647,16453,30
1648,16454,45
1649,16460,35
1650,16464,40
1651,16466,35
1652,16467,40
1653,16467,55
1654,16468,30
1655,16468,30
1656,16470,40
1657,16474,35
1658,16475,35
1659,16475,50
1660,16478,45
1661,16479,35
1662,16479,40
1663,16481,30
1664,16482,40
1665,16483,50
1666,16485,30
1667,16486,30
1668,16486,45
1669,16488,55
1670,16490,35
1671,16491,30
1672,16492,30
1673,16493,40
1674,16496,45
1675,16497,40
1676,16499,50
1677,16505,40
1678,16516,30
1679,16517,40
1680,16520,35
1681,16520,40
1682,16521,35
1683,16521,35
1684,16522,40
1685,16524,35
1686,16526,35
1687,16526,40
1688,16534,40
1689,16537,40
1690,16538,45
1691,16540,55
1692,16545,45
1693,16546,35
1694,16549,35
1695,16549,40
1696,16553,40
1697,16555,30
1698,16558,30
1699,16563,45
1700,16565,30
1701,16565,40
1702,16567,40
1703,16570,50
1704,16572,35
1705,16574,45
1706,16574,45
1707,16574,55
1708,16575,55
1709,16577,45
1710,16579,45
1711,16581,50
1712,16583,30
1713,16584,30
1714,16588,45
1715,16588,50
1716,16589,50
1717,16593,35
1718,16595,50
1719,16596,35
1720,16599,35
1721,16599,40
1722,16599,40
1723,16600,35
1724,16600,40
1725,16601,30
1726,16604,35
1727,16604,45
1728,16608,40
1729,16610,55
1730,16611,30
1731,16614,40
1732,16614,45
1733,16615,35
1734,16616,45
1735,16620,35
1736,16622,35
1737,16623,45
1738,16623,50
1739,16624,45
1740,16626,30
1741,16626,30
1742,16627,40
1743,16628,30
1744,16628,45
1745,16628,50
1746,16629,30
1747,16630,40
1748,16630,45
1749,16633,30
1750,16634,40
1751,16641,45
1752,16641,45
1753,16643,30
1754,16644,30
1755,16644,30
1756,16644,50
1757,16645,35
1758,16645,40
1759,16649,40
1760,16649,40
1761,16649,40
1762,16650,50
1763,16652,30
1764,16652,45
1765,16653,35
1766,16661,35
1767,16662,30
1768,16665,35
1769,16666,35
1770,16667,35
1771,16670,50
1772,16672,45
1773,16672,50
1774,16673,35
1775,16675,35
1776,16676,30
1777,16685,40
1778,16685,45
1779,16688,40
1780,16691,50
1781,16692,30
1782,16698,40
1783,16699,35
1784,16709,45
1785,16712,35
1786,16712,40
1787,16714,40
1788,16715,35
1789,16716,35
1790,16716,45
1791,16721,30
1792,16721,30
1793,16722,50
1794,16724,40
1795,16725,35
1796,16726,55
1797,16726,55
1798,16727,45
1799,16732,35
1800,16735,55
1801,16737,30
1802,16739,35
1803,16740,50
1804,16741,40
1805,16742,35
1806,16743,40
1807,16743,45
1808,16744,35
1809,16748,35
1810,16749,55
1811,16750,45
1812,16751,40
1813,16752,30
1814,16752,35
1815,16754,30
1816,16762,45
1817,16763,40
1818,16763,50
1819,16765,50
1820,16767,35
1821,16767,45
1822,16768,35
1823,16770,35
1824,16774,30
1825,16774,45
1826,16775,40
1827,16775,50
1828,16776,45
1829,16777,30
1830,16781,35
1831,16783,30
1832,16788,30
1833,16792,50
1834,16793,35
1835,16794,30
1836,16797,55
1837,16799,30
1838,16803,50
1839,16804,40
1840,16804,45
1841,16812,50
1842,16813,50
1843,16816,30
1844,16819,55
1845,16820,45
1846,16823,40
1847,16823,45
1848,16824,40
1849,16826,40
1850,16826,50
1851,16828,30
1852,16833,40
1853,16835,45
1854,16836,35
1855,16836,40
1856,16836,40
1857,16839,40
1858,16839,40
1859,16842,40
1860,16843,35
1861,16843,55
1862,16844,30
1863,16844,40
1864,16845,50
1865,16846,30
1866,16847,40
1867,16847,45
1868,16847,55
1869,16849,35
1870,16851,30
